Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,54043,29491,24495,57,,,,,
Female,2022-05-11 00:00:00,Black,42419,23980,18400,40,,,,,
Female,2022-05-11 00:00:00,Hispanic,437556,272893,164190,493,,,,,
Female,2022-05-11 00:00:00,Other,158962,88943,69816,208,,,,,
Female,2022-05-11 00:00:00,Unknown,30876,19495,11369,15,,,,,
Female,2022-05-11 00:00:00,White,131144,73486,57513,151,,,,,
Female,2022-12-15 00:00:00,Asian,51713,24850,21944,4927,,,,,
Female,2022-12-15 00:00:00,Black,72837,37979,31503,3359,,,,,
Female,2022-12-15 00:00:00,Hispanic,560258,304112,228650,27627,,,,,
Female,2022-12-15 00:00:00,Other,241859,120371,103979,17525,,,,,
Female,2022-12-15 00:00:00,Unknown,22589,13591,8386,614,,,,,
Female,2022-12-15 00:00:00,White,196050,99428,83803,12847,,,,,
Female,16-49,Asian,711332,320736,277990,126900,,,,,
Female,16-49,Black,932865,460326,389961,105438,,,,,
Female,16-49,Hispanic,4257990,2144073,1765848,494495,,,,,
Female,16-49,Other,1734410,804930,704242,276407,,,,,
Female,16-49,Unknown,448420,251011,179770,33346,,,,,
Female,16-49,White,3019524,1458489,1264224,412913,,,,,
Female,50-64,Asian,235084,102296,89213,49001,,,,,
Female,50-64,Black,484610,211407,190650,95291,,,,,
Female,50-64,Hispanic,1553219,704788,601292,287967,,,,,
Female,50-64,Other,953260,395441,362489,217765,,,,,
Female,50-64,Unknown,196906,104631,76130,22981,,,,,
Female,50-64,White,1799555,805412,725321,338539,,,,,
Female,65-79,Asian,114148,48555,41380,26076,,,,,
Female,65-79,Black,266344,108609,99297,63872,,,,,
Female,65-79,Hispanic,805767,344555,295147,180219,,,,,
Female,65-79,Other,887320,339697,318231,239726,,,,,
Female,65-79,Unknown,121212,63396,45203,15703,,,,,
Female,65-79,White,1536403,637028,579958,355953,,,,,
Female,80+,Asian,21392,9199,7812,4814,,,,,
Female,80+,Black,57897,24224,21698,13459,,,,,
Female,80+,Hispanic,196411,85271,72252,42508,,,,,
Female,80+,Other,290306,112626,104434,75743,,,,,
Female,80+,Unknown,44652,23724,16683,5132,,,,,
Female,80+,White,457164,188770,170985,107766,,,,,
Female,Unknown,Asian,127,95,37,,,,,,
Female,Unknown,Black,192,154,45,6,,,,,
Female,Unknown,Hispanic,1437,1227,272,7,,,,,
Female,Unknown,Other,225,182,46,0,,,,,
Female,Unknown,Unknown,808,702,119,,,,,,
Female,Unknown,White,742,582,195,10,,,,,
Male,2022-05-11 00:00:00,Asian,56747,31025,25665,58,,,,,
Male,2022-05-11 00:00:00,Black,42887,24314,18536,37,,,,,
Male,2022-05-11 00:00:00,Hispanic,440460,274943,165052,489,,,,,
Male,2022-05-11 00:00:00,Other,162067,90789,71038,247,,,,,
Male,2022-05-11 00:00:00,Unknown,32108,20346,11741,23,,,,,
Male,2022-05-11 00:00:00,White,136452,76376,59934,149,,,,,
Male,2022-12-15 00:00:00,Asian,52898,25514,22536,4851,,,,,
Male,2022-12-15 00:00:00,Black,71708,37448,30905,3362,,,,,
Male,2022-12-15 00:00:00,Hispanic,554823,304273,224385,26274,,,,,
Male,2022-12-15 00:00:00,Other,242281,121011,104074,17222,,,,,
Male,2022-12-15 00:00:00,Unknown,23334,14171,8633,539,,,,,
Male,2022-12-15 00:00:00,White,197703,100983,84308,12443,,,,,
Male,16-49,Asian,692579,328810,283104,116723,,,,,
Male,16-49,Black,742917,378442,314597,78027,,,,,
Male,16-49,Hispanic,3772112,1984823,1593542,371273,,,,,
Male,16-49,Other,1542683,747327,639301,224352,,,,,
Male,16-49,Unknown,396303,235759,162131,23122,,,,,
Male,16-49,White,2745570,1368400,1174444,350664,,,,,
Male,50-64,Asian,217362,94896,84000,46317,,,,,
Male,50-64,Black,404737,183319,161669,75067,,,,,
Male,50-64,Hispanic,1400955,648842,555187,242906,,,,,
Male,50-64,Other,788923,335900,304724,172463,,,,,
Male,50-64,Unknown,173343,95848,68776,17454,,,,,
Male,50-64,White,1675811,769621,685916,300653,,,,,
Male,65-79,Asian,97291,41050,34992,22715,,,,,
Male,65-79,Black,183189,76620,68142,43239,,,,,
Male,65-79,Hispanic,638838,272777,234850,144392,,,,,
Male,65-79,Other,699778,269926,250734,188233,,,,,
Male,65-79,Unknown,109159,57473,40696,14142,,,,,
Male,65-79,White,1342227,563510,507131,307104,,,,,
Male,80+,Asian,17091,7148,6170,4079,,,,,
Male,80+,Black,26592,11347,9787,6169,,,,,
Male,80+,Hispanic,118696,51184,43205,26644,,,,,
Male,80+,Other,175239,67308,61909,47651,,,,,
Male,80+,Unknown,29620,15938,10757,3505,,,,,
Male,80+,White,326324,134720,120060,78656,,,,,
Male,Unknown,Asian,146,103,46,,,,,,
Male,Unknown,Black,143,115,36,,,,,,
Male,Unknown,Hispanic,1379,1183,265,10,,,,,
Male,Unknown,Other,215,169,59,,,,,,
Male,Unknown,Unknown,587,509,90,0,,,,,
Male,Unknown,White,673,527,182,6,,,,,
Unknown,2022-05-11 00:00:00,Asian,38,25,13,0,,,,,
Unknown,2022-05-11 00:00:00,Black,11,7,4,0,,,,,
Unknown,2022-05-11 00:00:00,Hispanic,763,681,82,0,,,,,
Unknown,2022-05-11 00:00:00,Other,85,65,20,0,,,,,
Unknown,2022-05-11 00:00:00,Unknown,137,92,45,0,,,,,
Unknown,2022-05-11 00:00:00,White,45,35,10,0,,,,,
Unknown,2022-12-15 00:00:00,Asian,30,16,11,,,,,,
Unknown,2022-12-15 00:00:00,Black,34,21,13,0,,,,,
Unknown,2022-12-15 00:00:00,Hispanic,541,478,65,0,,,,,
Unknown,2022-12-15 00:00:00,Other,110,75,33,,,,,,
Unknown,2022-12-15 00:00:00,Unknown,145,120,24,,,,,,
Unknown,2022-12-15 00:00:00,White,124,78,43,,,,,,
Unknown,16-49,Asian,1470,820,637,106,,,,,
Unknown,16-49,Black,1609,916,719,68,,,,,
Unknown,16-49,Hispanic,13198,8121,6569,539,,,,,
Unknown,16-49,Other,10830,6609,4674,384,,,,,
Unknown,16-49,Unknown,5817,3591,2336,209,,,,,
Unknown,16-49,White,7556,4179,3461,262,,,,,
Unknown,50-64,Asian,635,331,269,60,,,,,
Unknown,50-64,Black,709,375,309,67,,,,,
Unknown,50-64,Hispanic,6455,3409,2979,429,,,,,
Unknown,50-64,Other,6729,3876,2929,345,,,,,
Unknown,50-64,Unknown,1932,1114,793,152,,,,,
Unknown,50-64,White,4177,2244,1905,178,,,,,
Unknown,65-79,Asian,461,222,183,61,,,,,
Unknown,65-79,Black,408,213,171,45,,,,,
Unknown,65-79,Hispanic,3178,1651,1376,263,,,,,
Unknown,65-79,Other,4051,2301,1659,266,,,,,
Unknown,65-79,Unknown,1205,664,461,101,,,,,
