County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Dallas,44230,1962805,1980363,1151035,897536,2181224,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,44449,4600,5052,3006,2230,10475,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,7100,11395,6625,5351,17091,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,5000,9154,5343,4398,14756,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,2427,1348,1167,4476,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,44230,567070,742995,418301,346092,750269,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,1005,564,510,1943,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,8484,4789,3739,8187,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,1779,1030,802,2837,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3800,9061,5246,4231,9183,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,44230,7340,8604,5096,4182,15879,14970,4054,860,389,5393,591,,,,,,,,,,,,,
Ector,44449,117100,87620,49027,41003,131546,120896,15970,5303,1016,50679,428,,,,,,,,,,,,,
Edwards,8,0,1051,582,490,1648,1555,561,24,0,528,0,,,,,,,,,,,,,
El Paso,44449,713000,823473,472072,374577,688420,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,,
Ellis,44230,130520,119365,68752,54983,153077,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,,
Erath,44230,24600,20182,11415,9584,37010,34875,6256,1250,481,12564,1079,,,,,,,,,,,,,
Falls,7,30755,9493,5572,4167,14863,14049,3226,328,187,5671,486,,,,,,,,,,,,,
Fannin,44230,37695,17761,10317,8735,30562,28874,6588,962,614,10987,1108,,,,,,,,,,,,,
Fayette,7,8700,16725,9941,8058,22151,20879,6679,998,647,6844,671,,,,,,,,,,,,,
Fisher,44230,2200,1876,1059,947,3277,3088,961,101,28,1061,0,,,,,,,,,,,,,
Floyd,1,2300,3438,1912,1675,4667,4371,1070,132,68,1723,0,,,,,,,,,,,,,
Foard,44230,1700,716,409,337,1003,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,528850,775148,441338,358273,665167,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,,
Franklin,4/5N,3200,5050,2963,2428,9186,8554,2367,169,163,2871,0,,,,,,,,,,,,,
Freestone,7,4400,8735,5445,3898,16823,15808,3996,553,261,6319,689,,,,,,,,,,,,,
Frio,8,13450,10794,6650,4934,17090,16121,2499,186,166,6797,28,,,,,,,,,,,,,
Gaines,44449,5100,5569,3235,2777,16201,14548,1907,323,95,6156,717,,,,,,,,,,,,,
Galveston,6/5S,310560,277833,152416,131884,287908,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,,
Garza,1,4200,3812,2712,2072,5587,5325,719,33,75,2197,0,,,,,,,,,,,,,
Gillespie,8,31400,21115,11762,10056,23486,22307,8110,1175,706,6815,681,,,,,,,,,,,,,
Glasscock,44449,0,869,484,412,1170,1099,210,23,0,426,0,,,,,,,,,,,,,
Goliad,8,2400,4386,2438,2168,6651,6281,1832,39,135,2282,0,,,,,,,,,,,,,
Gonzales,8,11700,12333,7181,6382,17120,15937,3572,550,256,6356,693,,,,,,,,,,,,,
Gray,1,5500,10587,6241,4969,18191,16924,3531,689,315,6978,42,,,,,,,,,,,,,
Grayson,44230,67740,73312,43462,36577,114863,107521,24182,9338,2131,40586,4254,,,,,,,,,,,,,
Gregg,4/5N,124925,71091,39808,33364,102834,95544,19451,7025,2324,37362,3988,,,,,,,,,,,,,
Grimes,7,4700,18929,11223,8765,24734,23245,5134,234,311,9653,771,,,,,,,,,,,,,
Guadalupe,8,91395,109909,65447,53392,139873,130517,23614,3801,1225,49282,3850,,,,,,,,,,,,,
Hale,1,14000,16394,9542,8098,27448,25476,4604,873,399,10561,1177,,,,,,,,,,,,,
Hall,1,0,1823,1054,894,2552,2406,711,27,72,978,0,,,,,,,,,,,,,
Hamilton,7,6100,5378,3169,2709,7223,6832,2146,481,296,2427,10,,,,,,,,,,,,,
Hansford,1,3400,2994,1760,1617,4355,3987,812,139,84,1616,295,,,,,,,,,,,,,
Hardeman,44230,3800,2423,1380,1250,3383,3190,912,102,16,1146,0,,,,,,,,,,,,,
Hardin,6/5S,11800,26906,15222,12522,48425,45112,9762,1003,527,16190,1814,,,,,,,,,,,,,
Harris,6/5S,3395220,3594586,2096238,1649078,3873534,3601939,514167,225769,27623,1408024,148273,,,,,,,,,,,,,
Harrison,4/5N,16870,30286,17776,14839,55838,51900,11607,3063,608,20509,2169,,,,,,,,,,,,,
Hartley,1,1475,3579,2097,1500,4854,4561,861,196,94,1669,253,,,,,,,,,,,,,
Haskell,44230,3200,3249,1880,1514,5059,4831,1266,123,68,1872,187,,,,,,,,,,,,,
Hays,7,170240,188996,110065,87906,195999,183380,26187,5488,1907,61462,6431,,,,,,,,,,,,,
Hemphill,1,3100,2191,1302,1178,3122,2827,606,104,98,1066,0,,,,,,,,,,,,,
Henderson,4/5N,23170,42251,24350,20166,71288,67238,18534,2043,998,26544,1787,,,,,,,,,,,,,
Hidalgo,11,641140,793325,455133,364888,681678,620824,98328,54962,17074,286328,36161,,,,,,,,,,,,,
Hill,7,10400,19205,11292,9628,31136,29198,7684,862,523,11381,1209,,,,,,,,,,,,,
Hockley,1,5500,12729,7223,6303,19075,17799,3453,483,263,6829,887,,,,,,,,,,,,,
Hood,44230,31570,43623,23706,21185,53157,50193,15416,1720,867,16867,147,,,,,,,,,,,,,
Hopkins,4/5N,14810,18281,10299,8785,31222,29175,6887,1192,620,11166,1299,,,,,,,,,,,,,
Houston,4/5N,6800,11472,7067,5148,19962,18929,5176,634,538,7399,631,,,,,,,,,,,,,
Howard,44449,7900,14177,8483,6685,31311,29544,4813,1456,454,12143,858,,,,,,,,,,,,,
Hudspeth,44449,2000,4315,2564,2174,4139,3979,775,33,0,1778,145,,,,,,,,,,,,,
