County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",People Vaccinated with an Additional Dose,,,,,,,,,,,
Crosby,1,4050,4866,2569,2316,4779,4421,1085,98,115,1771,284,,,,,,,,,,,,
Culberson,2021-09-10 00:00:00,2000,2255,1199,1064,1824,1746,480,67,0,722,0,,,,,,,,,,,,
Dallam,1,28810,6016,3527,2579,5706,5217,857,40,0,2067,0,,,,,,,,,,,,
Dallas,2021-02-03 00:00:00,1962805,2870942,1567232,1338393,2181224,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,
Dawson,2021-09-10 00:00:00,4600,7711,4495,3747,10475,9789,1898,304,112,4206,475,,,,,,,,,,,,
DeWitt,8,7100,16758,9174,8152,17091,16110,4035,319,438,6110,1055,,,,,,,,,,,,
Deaf Smith,1,5000,13950,7827,6790,14756,13439,2423,238,147,5332,0,,,,,,,,,,,,
Delta,4/5N,1700,3427,1828,1588,4476,4222,1118,379,100,1580,0,,,,,,,,,,,,
Denton,2021-02-03 00:00:00,567070,1008026,535486,483233,750269,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,
Dickens,1,0,1304,726,646,1943,1858,525,21,0,689,0,,,,,,,,,,,,
Dimmit,8,23265,14163,8328,5710,8187,7539,1749,238,175,3179,48,,,,,,,,,,,,
Donley,1,1400,2296,1267,1065,2837,2716,804,27,65,918,0,,,,,,,,,,,,
Duval,11,3800,13808,7406,6161,9183,8600,2031,69,150,3541,482,,,,,,,,,,,,
Eastland,2021-02-03 00:00:00,7340,11779,6741,5667,15879,14970,4054,860,389,5393,591,,,,,,,,,,,,
Ector,2021-09-10 00:00:00,117100,131714,71686,60797,131546,120896,15970,5303,1016,50679,428,,,,,,,,,,,,
Edwards,8,0,1370,740,649,1648,1555,561,24,0,528,0,,,,,,,,,,,,
El Paso,2021-09-10 00:00:00,713000,1119772,608394,524708,688420,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,
Ellis,2021-02-03 00:00:00,130520,176140,96578,83127,153077,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,
Erath,2021-02-03 00:00:00,24600,28724,15893,13766,37010,34875,6256,1250,481,12564,1079,,,,,,,,,,,,
Falls,7,30755,14421,7919,6671,14863,14049,3226,328,187,5671,486,,,,,,,,,,,,
Fannin,2021-02-03 00:00:00,37695,25633,14299,12416,30562,28874,6588,962,614,10987,1108,,,,,,,,,,,,
Fayette,7,8700,24168,13723,11621,22151,20879,6679,998,647,6844,671,,,,,,,,,,,,
Fisher,2021-02-03 00:00:00,2200,2459,1428,1220,3277,3088,961,101,28,1061,0,,,,,,,,,,,,
Floyd,1,2300,4529,2500,2212,4667,4371,1070,132,68,1723,0,,,,,,,,,,,,
Foard,2021-02-03 00:00:00,1700,964,558,434,1003,962,315,7,80,332,0,,,,,,,,,,,,
Fort Bend,6/5S,528850,1063043,566548,503232,665167,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,
Franklin,4/5N,3200,7042,4013,3385,9186,8554,2367,169,163,2871,0,,,,,,,,,,,,
Freestone,7,4400,13644,7699,6681,16823,15808,3996,553,261,6319,689,,,,,,,,,,,,
Frio,8,13450,17703,10860,9341,17090,16121,2499,186,166,6797,28,,,,,,,,,,,,
Gaines,2021-09-10 00:00:00,5100,8207,4662,3992,16201,14548,1907,323,95,6156,717,,,,,,,,,,,,
Galveston,6/5S,310560,391363,201585,182829,287908,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,
Garza,1,4200,4859,3072,2864,5587,5325,719,33,75,2197,0,,,,,,,,,,,,
Gillespie,8,31400,27656,14912,13208,23486,22307,8110,1175,706,6815,681,,,,,,,,,,,,
Glasscock,2021-09-10 00:00:00,0,1115,608,526,1170,1099,210,23,0,426,0,,,,,,,,,,,,
Goliad,8,2400,6122,3306,2941,6651,6281,1832,39,135,2282,0,,,,,,,,,,,,
Gonzales,8,11700,18343,10446,9186,17120,15937,3572,550,256,6356,693,,,,,,,,,,,,
Gray,1,5500,15118,8490,7421,18191,16924,3531,689,315,6978,42,,,,,,,,,,,,
Grayson,2021-02-03 00:00:00,67740,103910,59347,50849,114863,107521,24182,9338,2131,40586,4254,,,,,,,,,,,,
Gregg,4/5N,124925,108239,58206,50409,102834,95544,19451,7025,2324,37362,3988,,,,,,,,,,,,
Grimes,7,4700,27786,15542,13245,24734,23245,5134,234,311,9653,771,,,,,,,,,,,,
Guadalupe,8,91395,162326,90190,79883,139873,130517,23614,3801,1225,49282,3850,,,,,,,,,,,,
Hale,1,14000,24059,13615,12026,27448,25476,4604,873,399,10561,1177,,,,,,,,,,,,
Hall,1,0,2278,1272,1137,2552,2406,711,27,72,978,0,,,,,,,,,,,,
Hamilton,7,6100,7476,4210,3696,7223,6832,2146,481,296,2427,10,,,,,,,,,,,,
Hansford,1,3400,3984,2262,2031,4355,3987,812,139,84,1616,295,,,,,,,,,,,,
Hardeman,2021-02-03 00:00:00,3800,3234,1774,1605,3383,3190,912,102,16,1146,0,,,,,,,,,,,,
Hardin,6/5S,11800,40992,22412,19222,48425,45112,9762,1003,527,16190,1814,,,,,,,,,,,,
Harris,6/5S,3395220,5377603,2959679,2538217,3873534,3601939,514167,225769,27623,1408024,148273,,,,,,,,,,,,
Harrison,4/5N,16870,46750,26173,22541,55838,51900,11607,3063,608,20509,2169,,,,,,,,,,,,
Hartley,1,1475,4991,2832,2325,4854,4561,861,196,94,1669,253,,,,,,,,,,,,
Haskell,2021-02-03 00:00:00,3200,3858,2201,1819,5059,4831,1266,123,68,1872,187,,,,,,,,,,,,
Hays,7,170240,263061,144055,123943,195999,183380,26187,5488,1907,61462,6431,,,,,,,,,,,,
Hemphill,1,3100,2768,1647,1462,3122,2827,606,104,98,1066,0,,,,,,,,,,,,
Henderson,4/5N,23170,60377,33550,28870,71288,67238,18534,2043,998,26544,1787,,,,,,,,,,,,
Hidalgo,11,641140,1170003,631076,539272,681678,620824,98328,54962,17074,286328,36161,,,,,,,,,,,,
Hill,7,10400,26040,15142,12817,31136,29198,7684,862,523,11381,1209,,,,,,,,,,,,
Hockley,1,5500,17873,10010,8720,19075,17799,3453,483,263,6829,887,,,,,,,,,,,,
Hood,2021-02-03 00:00:00,31570,56182,30015,26755,53157,50193,15416,1720,867,16867,147,,,,,,,,,,,,
Hopkins,4/5N,14810,27355,14963,12867,31222,29175,6887,1192,620,11166,1299,,,,,,,,,,,,
Houston,4/5N,6800,17505,9803,8460,19962,18929,5176,634,538,7399,631,,,,,,,,,,,,
Howard,2021-09-10 00:00:00,7900,22403,12851,11046,31311,29544,4813,1456,454,12143,858,,,,,,,,,,,,
Hudspeth,2021-09-10 00:00:00,2000,5601,3232,2896,4139,3979,775,33,0,1778,145,,,,,,,,,,,,
