County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,23332993,13258611,10977308,24068624,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,30674,18110,14655,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,2021-09-10 00:00:00,6100,11441,6244,5415,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,50795,28381,24429,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,20880,11735,9897,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2021-02-03 00:00:00,3200,5813,3208,2918,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1096,613,509,1584,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,31790,18141,14920,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,19912,11504,9671,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,4047,2279,1977,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,14431,8239,7140,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,65563,38405,29203,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2021-02-03 00:00:00,5550,2199,1190,1111,2992,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,22929,12556,10881,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,177861,102854,82957,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,1669025,945151,775631,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,9725,5378,4710,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,2021-09-10 00:00:00,0,281,164,141,569,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,11919,6757,5884,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,40038,23390,19359,78795,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,298472,167025,143651,310503,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,173448,97603,81566,198148,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,2021-09-10 00:00:00,5100,8080,4628,3898,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,916,490,450,1352,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,6021,3323,2808,5714,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2021-02-03 00:00:00,14800,18067,11344,10008,32897,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,11973,6798,5987,15888,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,33957,19487,16641,41525,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,29558,17387,13896,37400,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,14683,8466,7479,17988,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2021-02-03 00:00:00,3500,6903,3946,3455,11949,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,435437,245892,203486,339698,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,7191,4070,3365,10774,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2872,1579,1366,5073,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,12831,7529,6370,25670,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,4148,2370,1923,6026,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,24924,14914,10703,35653,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,24879,14369,12203,44073,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,4872,2833,2595,6419,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2021-02-03 00:00:00,14645,6693,3615,3341,9145,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1459,856,778,2361,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,2021-09-10 00:00:00,0,1925,1072,911,2889,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2021-02-03 00:00:00,3700,4283,2402,2100,7133,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2021-02-03 00:00:00,763700,1008956,559700,476192,865275,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1420,821,713,2432,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12600,15396,9017,7891,18273,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,94530,128412,74037,61322,133278,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2021-02-03 00:00:00,6890,8271,4685,4170,11640,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,2021-09-10 00:00:00,2000,1988,1162,919,2382,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2021-02-03 00:00:00,18500,22473,12684,10805,34774,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,38595,36425,20979,16961,64702,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2021-02-03 00:00:00,0,795,449,401,1181,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,2021-09-10 00:00:00,3550,2271,1399,897,3834,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,2021-09-10 00:00:00,0,2207,1195,1041,2885,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,3764,2011,1825,4779,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,2021-09-10 00:00:00,2000,1928,1030,908,1824,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,28810,4506,2573,1979,5706,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2021-02-03 00:00:00,1962805,2110255,1207637,976537,2181224,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,2021-09-10 00:00:00,4600,5715,3269,2826,10475,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,7100,11883,6834,5654,17091,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,5000,9638,5560,4701,14756,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,2499,1377,1216,4476,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2021-02-03 00:00:00,567070,782487,436527,368920,750269,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,1024,571,526,1943,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,9375,5440,3990,8187,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,1884,1048,892,2837,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3800,9436,5427,4443,9183,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,2021-02-03 00:00:00,7340,8827,5199,4328,15879,14970,4054,860,389,5393,591,,,,,,,,,,,,,
Ector,2021-09-10 00:00:00,117100,91787,51151,43216,131546,120896,15970,5303,1016,50679,428,,,,,,,,,,,,,
Edwards,8,0,1069,591,501,1648,1555,561,24,0,528,0,,,,,,,,,,,,,
El Paso,2021-09-10 00:00:00,713000,882961,499202,408883,688420,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,,
Ellis,2021-02-03 00:00:00,130520,127482,72282,59988,153077,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,,
Erath,2021-02-03 00:00:00,24600,20974,11764,10121,37010,34875,6256,1250,481,12564,1079,,,,,,,,,,,,,
Falls,7,30755,10093,5731,4636,14863,14049,3226,328,187,5671,486,,,,,,,,,,,,,
Fannin,2021-02-03 00:00:00,37695,18696,10746,9391,30562,28874,6588,962,614,10987,1108,,,,,,,,,,,,,
Fayette,7,8700,17247,10191,8397,22151,20879,6679,998,647,6844,671,,,,,,,,,,,,,
Fisher,2021-02-03 00:00:00,2200,1915,1081,972,3277,3088,961,101,28,1061,0,,,,,,,,,,,,,
Floyd,1,2300,3550,1942,1762,4667,4371,1070,132,68,1723,0,,,,,,,,,,,,,
Foard,2021-02-03 00:00:00,1700,728,419,339,1003,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,528850,824527,463645,386890,665167,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,,
Franklin,4/5N,3200,5238,3049,2553,9186,8554,2367,169,163,2871,0,,,,,,,,,,,,,
Freestone,7,4400,9417,5592,4463,16823,15808,3996,553,261,6319,689,,,,,,,,,,,,,
Frio,8,13450,11686,6960,5537,17090,16121,2499,186,166,6797,28,,,,,,,,,,,,,
Gaines,2021-09-10 00:00:00,5100,5807,3326,2950,16201,14548,1907,323,95,6156,717,,,,,,,,,,,,,
Galveston,6/5S,310560,291859,158478,140626,287908,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,,
Garza,1,4200,4123,2754,2361,5587,5325,719,33,75,2197,0,,,,,,,,,,,,,
Gillespie,8,31400,21850,12075,10513,23486,22307,8110,1175,706,6815,681,,,,,,,,,,,,,
Glasscock,2021-09-10 00:00:00,0,887,491,425,1170,1099,210,23,0,426,0,,,,,,,,,,,,,
Goliad,8,2400,4505,2494,2244,6651,6281,1832,39,135,2282,0,,,,,,,,,,,,,
Gonzales,8,11700,12843,7433,6688,17120,15937,3572,550,256,6356,693,,,,,,,,,,,,,
Gray,1,5500,11257,6417,5511,18191,16924,3531,689,315,6978,42,,,,,,,,,,,,,
Grayson,2021-02-03 00:00:00,67740,77558,45413,39217,114863,107521,24182,9338,2131,40586,4254,,,,,,,,,,,,,
Gregg,4/5N,124925,74600,41487,35342,102834,95544,19451,7025,2324,37362,3988,,,,,,,,,,,,,
Grimes,7,4700,19906,11566,9453,24734,23245,5134,234,311,9653,771,,,,,,,,,,,,,
Guadalupe,8,91395,117245,68407,58277,139873,130517,23614,3801,1225,49282,3850,,,,,,,,,,,,,
Hale,1,14000,17180,9910,8593,27448,25476,4604,873,399,10561,1177,,,,,,,,,,,,,
Hall,1,0,1889,1077,948,2552,2406,711,27,72,978,0,,,,,,,,,,,,,
Hamilton,7,6100,5524,3234,2799,7223,6832,2146,481,296,2427,10,,,,,,,,,,,,,
Hansford,1,3400,3054,1802,1645,4355,3987,812,139,84,1616,295,,,,,,,,,,,,,
Hardeman,2021-02-03 00:00:00,3800,2473,1401,1288,3383,3190,912,102,16,1146,0,,,,,,,,,,,,,
Hardin,6/5S,11800,27947,15678,13169,48425,45112,9762,1003,527,16190,1814,,,,,,,,,,,,,
Harris,6/5S,3395220,3860298,2218732,1808682,3873534,3601939,514167,225769,27623,1408024,148273,,,,,,,,,,,,,
Harrison,4/5N,16870,31664,18429,15663,55838,51900,11607,3063,608,20509,2169,,,,,,,,,,,,,
Hartley,1,1475,3928,2223,1730,4854,4561,861,196,94,1669,253,,,,,,,,,,,,,
Haskell,2021-02-03 00:00:00,3200,3433,1937,1648,5059,4831,1266,123,68,1872,187,,,,,,,,,,,,,
Hays,7,170240,199841,114998,94406,195999,183380,26187,5488,1907,61462,6431,,,,,,,,,,,,,
Hemphill,1,3100,2236,1313,1217,3122,2827,606,104,98,1066,0,,,,,,,,,,,,,
Henderson,4/5N,23170,44182,25098,21502,71288,67238,18534,2043,998,26544,1787,,,,,,,,,,,,,
Hidalgo,11,641140,847820,479734,397782,681678,620824,98328,54962,17074,286328,36161,,,,,,,,,,,,,
Hill,7,10400,19861,11640,10001,31136,29198,7684,862,523,11381,1209,,,,,,,,,,,,,
Hockley,1,5500,13134,7455,6505,19075,17799,3453,483,263,6829,887,,,,,,,,,,,,,
Hood,2021-02-03 00:00:00,31570,44684,24172,21859,53157,50193,15416,1720,867,16867,147,,,,,,,,,,,,,
Hopkins,4/5N,14810,19097,10691,9265,31222,29175,6887,1192,620,11166,1299,,,,,,,,,,,,,
Houston,4/5N,6800,12422,7420,5853,19962,18929,5176,634,538,7399,631,,,,,,,,,,,,,
Howard,2021-09-10 00:00:00,7900,15325,9412,6961,31311,29544,4813,1456,454,12143,858,,,,,,,,,,,,,
Hudspeth,2021-09-10 00:00:00,2000,4522,2658,2290,4139,3979,775,33,0,1778,145,,,,,,,,,,,,,
Hunt,2021-02-03 00:00:00,39410,52085,29609,25125,82800,77878,15810,4112,947,31096,2723,,,,,,,,,,,,,
Hutchinson,1,4900,10233,5732,4772,17397,16258,3581,504,246,6098,741,,,,,,,,,,,,,
Irion,2021-09-10 00:00:00,0,908,499,429,1292,1234,328,15,0,429,0,,,,,,,,,,,,,
