County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Brewster,2021-09-10 00:00:00,5100,7994,4591,3843,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,914,488,450,1352,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,5934,3292,2750,5714,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2021-02-03 00:00:00,14800,17823,11214,9856,32897,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,11820,6737,5877,15888,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,33280,19269,16152,41525,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,28504,17006,13184,37400,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,14426,8342,7307,17988,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2021-02-03 00:00:00,3500,6806,3887,3389,11949,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,424217,241727,196100,339698,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,7091,4034,3291,10774,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2837,1561,1348,5073,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,12675,7454,6267,25670,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,4098,2343,1899,6026,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,24319,14710,10274,35653,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,23634,13700,11490,44073,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,4843,2823,2574,6419,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2021-02-03 00:00:00,14645,6627,3583,3303,9145,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1448,851,772,2361,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,2021-09-10 00:00:00,0,1907,1061,897,2889,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2021-02-03 00:00:00,3700,4205,2359,2051,7133,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2021-02-03 00:00:00,763700,987730,551783,462062,865275,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1409,810,707,2432,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12600,15187,8929,7754,18273,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,94530,125235,72716,59274,133278,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2021-02-03 00:00:00,6890,8212,4643,4146,11640,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,2021-09-10 00:00:00,2000,1935,1139,887,2382,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2021-02-03 00:00:00,18500,21766,12568,10183,34774,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,38595,34904,20562,15805,64702,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2021-02-03 00:00:00,0,793,448,400,1181,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,2021-09-10 00:00:00,3550,2252,1387,890,3834,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,2021-09-10 00:00:00,0,2184,1186,1026,2885,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,3734,1997,1802,4779,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,2021-09-10 00:00:00,2000,1887,997,900,1824,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,28810,4467,2554,1956,5706,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2021-02-03 00:00:00,1962805,2061333,1188724,944496,2181224,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,2021-09-10 00:00:00,4600,5518,3241,2649,10475,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,7100,11712,6747,5552,17091,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,5000,9412,5475,4554,14756,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,2469,1364,1197,4476,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2021-02-03 00:00:00,567070,768231,431433,359191,750269,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,1018,569,520,1943,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,8722,4884,3889,8187,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,1865,1041,878,2837,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3800,9285,5363,4348,9183,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,2021-02-03 00:00:00,7340,8724,5152,4253,15879,14970,4054,860,389,5393,591,,,,,,,,,,,,,
Ector,2021-09-10 00:00:00,117100,90102,50389,42211,131546,120896,15970,5303,1016,50679,428,,,,,,,,,,,,,
Edwards,8,0,1058,588,492,1648,1555,561,24,0,528,0,,,,,,,,,,,,,
El Paso,2021-09-10 00:00:00,713000,859388,489512,394168,688420,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,,
Ellis,2021-02-03 00:00:00,130520,123898,71111,57403,153077,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,,
Erath,2021-02-03 00:00:00,24600,20763,11657,9988,37010,34875,6256,1250,481,12564,1079,,,,,,,,,,,,,
Falls,7,30755,9846,5685,4424,14863,14049,3226,328,187,5671,486,,,,,,,,,,,,,
Fannin,2021-02-03 00:00:00,37695,18174,10530,9048,30562,28874,6588,962,614,10987,1108,,,,,,,,,,,,,
Fayette,7,8700,17012,10085,8237,22151,20879,6679,998,647,6844,671,,,,,,,,,,,,,
Fisher,2021-02-03 00:00:00,2200,1888,1065,955,3277,3088,961,101,28,1061,0,,,,,,,,,,,,,
Floyd,1,2300,3530,1935,1748,4667,4371,1070,132,68,1723,0,,,,,,,,,,,,,
Foard,2021-02-03 00:00:00,1700,723,416,337,1003,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,528850,803136,455062,373506,665167,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,,
Franklin,4/5N,3200,5178,3019,2515,9186,8554,2367,169,163,2871,0,,,,,,,,,,,,,
Freestone,7,4400,9101,5502,4222,16823,15808,3996,553,261,6319,689,,,,,,,,,,,,,
Frio,8,13450,11351,6825,5325,17090,16121,2499,186,166,6797,28,,,,,,,,,,,,,
Gaines,2021-09-10 00:00:00,5100,5741,3301,2904,16201,14548,1907,323,95,6156,717,,,,,,,,,,,,,
Galveston,6/5S,310560,285585,155953,136448,287908,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,,
Garza,1,4200,4087,2732,2332,5587,5325,719,33,75,2197,0,,,,,,,,,,,,,
Gillespie,8,31400,21603,11965,10360,23486,22307,8110,1175,706,6815,681,,,,,,,,,,,,,
Glasscock,2021-09-10 00:00:00,0,880,489,421,1170,1099,210,23,0,426,0,,,,,,,,,,,,,
Goliad,8,2400,4445,2470,2201,6651,6281,1832,39,135,2282,0,,,,,,,,,,,,,
Gonzales,8,11700,12661,7342,6580,17120,15937,3572,550,256,6356,693,,,,,,,,,,,,,
Gray,1,5500,11029,6343,5336,18191,16924,3531,689,315,6978,42,,,,,,,,,,,,,
Grayson,2021-02-03 00:00:00,67740,75615,44529,38016,114863,107521,24182,9338,2131,40586,4254,,,,,,,,,,,,,
Gregg,4/5N,124925,73305,40868,34605,102834,95544,19451,7025,2324,37362,3988,,,,,,,,,,,,,
Grimes,7,4700,19623,11456,9264,24734,23245,5134,234,311,9653,771,,,,,,,,,,,,,
Guadalupe,8,91395,113874,67232,55819,139873,130517,23614,3801,1225,49282,3850,,,,,,,,,,,,,
Hale,1,14000,16757,9748,8288,27448,25476,4604,873,399,10561,1177,,,,,,,,,,,,,
Hall,1,0,1870,1065,932,2552,2406,711,27,72,978,0,,,,,,,,,,,,,
Hamilton,7,6100,5453,3197,2757,7223,6832,2146,481,296,2427,10,,,,,,,,,,,,,
Hansford,1,3400,3038,1790,1637,4355,3987,812,139,84,1616,295,,,,,,,,,,,,,
Hardeman,2021-02-03 00:00:00,3800,2437,1388,1259,3383,3190,912,102,16,1146,0,,,,,,,,,,,,,
Hardin,6/5S,11800,27455,15488,12835,48425,45112,9762,1003,527,16190,1814,,,,,,,,,,,,,
Harris,6/5S,3395220,3749403,2170535,1739143,3873534,3601939,514167,225769,27623,1408024,148273,,,,,,,,,,,,,
Harrison,4/5N,16870,31081,18150,15303,55838,51900,11607,3063,608,20509,2169,,,,,,,,,,,,,
Hartley,1,1475,3682,2172,1531,4854,4561,861,196,94,1669,253,,,,,,,,,,,,,
Haskell,2021-02-03 00:00:00,3200,3341,1923,1568,5059,4831,1266,123,68,1872,187,,,,,,,,,,,,,
Hays,7,170240,195247,113120,91457,195999,183380,26187,5488,1907,61462,6431,,,,,,,,,,,,,
Hemphill,1,3100,2228,1306,1213,3122,2827,606,104,98,1066,0,,,,,,,,,,,,,
Henderson,4/5N,23170,43430,24831,20938,71288,67238,18534,2043,998,26544,1787,,,,,,,,,,,,,
Hidalgo,11,641140,826487,471195,384056,681678,620824,98328,54962,17074,286328,36161,,,,,,,,,,,,,
Hill,7,10400,19631,11549,9835,31136,29198,7684,862,523,11381,1209,,,,,,,,,,,,,
Hockley,1,5500,12978,7381,6415,19075,17799,3453,483,263,6829,887,,,,,,,,,,,,,
Hood,2021-02-03 00:00:00,31570,44277,24016,21578,53157,50193,15416,1720,867,16867,147,,,,,,,,,,,,,
Hopkins,4/5N,14810,18778,10552,9066,31222,29175,6887,1192,620,11166,1299,,,,,,,,,,,,,
Houston,4/5N,6800,11856,7326,5370,19962,18929,5176,634,538,7399,631,,,,,,,,,,,,,
Howard,2021-09-10 00:00:00,7900,14799,8986,6838,31311,29544,4813,1456,454,12143,858,,,,,,,,,,,,,
Hudspeth,2021-09-10 00:00:00,2000,4453,2628,2250,4139,3979,775,33,0,1778,145,,,,,,,,,,,,,
Hunt,2021-02-03 00:00:00,39410,51052,29155,24445,82800,77878,15810,4112,947,31096,2723,,,,,,,,,,,,,
Hutchinson,1,4900,10126,5691,4699,17397,16258,3581,504,246,6098,741,,,,,,,,,,,,,
Irion,2021-09-10 00:00:00,0,903,498,425,1292,1234,328,15,0,429,0,,,,,,,,,,,,,
Jack,2021-02-03 00:00:00,3900,4426,2618,2067,7655,7230,1515,198,149,2732,284,,,,,,,,,,,,,
Jackson,8,11060,9029,5037,4340,12264,11425,2720,380,237,4205,674,,,,,,,,,,,,,
Jasper,4/5N,15270,16832,9350,8245,29963,28056,7187,1597,374,11687,1173,,,,,,,,,,,,,
Jeff Davis,2021-09-10 00:00:00,1400,2039,1126,978,2246,2180,812,28,0,685,0,,,,,,,,,,,,,
Jefferson,6/5S,241300,153766,86745,69286,209484,197382,37595,13127,2431,90120,6898,,,,,,,,,,,,,
Jim Hogg,11,1400,4586,2596,2026,4107,3791,890,14,60,1572,0,,,,,,,,,,,,,
Jim Wells,11,35525,30672,17258,14249,32896,30579,6358,3897,985,12474,1370,,,,,,,,,,,,,
Johnson,2021-02-03 00:00:00,105100,103916,57895,49181,145438,135345,25151,3559,1471,53224,5814,,,,,,,,,,,,,
Jones,2021-02-03 00:00:00,3300,10272,6019,5269,17778,17011,3188,337,254,6981,525,,,,,,,,,,,,,
Karnes,8,14520,10653,6152,5345,13389,12669,2211,370,244,5177,505,,,,,,,,,,,,,
Kaufman,2021-02-03 00:00:00,65950,87728,50690,40600,110544,102341,16113,2857,1189,40613,4498,,,,,,,,,,,,,
Kendall,8,19400,40067,22873,19158,40495,37890,9152,1091,801,12702,160,,,,,,,,,,,,,
Kenedy,11,0,339,184,160,333,321,68,1,0,139,0,,,,,,,,,,,,,
Kent,2021-02-03 00:00:00,0,414,236,206,646,615,201,13,60,198,0,,,,,,,,,,,,,
Kerr,8,20100,34213,19369,16398,46093,43793,14769,2805,1022,13990,1087,,,,,,,,,,,,,
Kimble,2021-09-10 00:00:00,2900,2715,1566,1281,3832,3651,1288,90,0,1243,0,,,,,,,,,,,,,
King,1,0,67,41,32,215,205,51,7,0,69,0,,,,,,,,,,,,,
Kinney,8,2400,2207,1276,976,3211,3050,910,11,0,1171,0,,,,,,,,,,,,,
Kleberg,11,59725,27646,15252,12859,25919,24188,4046,1401,341,9265,870,,,,,,,,,,,,,
Knox,2021-02-03 00:00:00,2300,2101,1157,1064,3024,2808,736,95,127,976,182,,,,,,,,,,,,,
La Salle,8,24535,6130,3444,2960,6477,6212,1018,22,60,2410,0,,,,,,,,,,,,,
Lamar,4/5N,28200,26035,14459,12724,41942,39402,9726,3115,745,14986,1612,,,,,,,,,,,,,
Lamb,1,2400,7537,4260,3717,10452,9740,2240,454,226,3968,536,,,,,,,,,,,,,
Lampasas,7,5000,11861,6978,5765,18448,17366,4322,348,284,6457,0,,,,,,,,,,,,,
Lavaca,8,8700,12036,7015,6143,17169,16004,4775,820,612,5435,476,,,,,,,,,,,,,
Lee,7,5900,10625,6068,5082,14935,13993,3219,334,226,5333,494,,,,,,,,,,,,,
Leon,7,3800,8828,5290,4438,14753,13946,4334,155,74,4662,603,,,,,,,,,,,,,
Liberty,6/5S,42565,42573,25182,19410,71663,66868,11399,1398,614,28567,2987,,,,,,,,,,,,,
Limestone,7,8100,11321,6749,5565,20032,18871,4670,2332,1060,7512,702,,,,,,,,,,,,,
Lipscomb,1,1300,1482,810,741,2698,2520,617,24,61,919,190,,,,,,,,,,,,,
Live Oak,11,3400,5663,3152,2662,10565,10055,2533,35,100,3769,300,,,,,,,,,,,,,
Llano,7,6800,16811,9551,8303,19603,18908,8119,277,358,5362,15,,,,,,,,,,,,,
Loving,2021-09-10 00:00:00,0,59,33,26,130,129,23,0,0,50,0,,,,,,,,,,,,,
Lubbock,1,239890,208857,116420,99746,261427,244992,39476,20974,4093,83028,9242,,,,,,,,,,,,,
Lynn,1,1800,3359,1863,1609,4851,4496,974,191,40,1838,328,,,,,,,,,,,,,
Madison,7,4100,7719,4548,3721,12264,11595,2264,299,258,4451,17,,,,,,,,,,,,,
Marion,4/5N,1300,5184,2984,2575,8663,8277,2697,351,158,3058,0,,,,,,,,,,,,,
Martin,2021-09-10 00:00:00,2400,2505,1471,1146,4473,4136,659,165,0,1624,0,,,,,,,,,,,,,
Mason,2021-09-10 00:00:00,2000,3095,1684,1513,3712,3521,1250,104,0,1147,0,,,,,,,,,,,,,
Matagorda,6/5S,16950,23291,13406,10775,30169,28247,6391,1113,369,11409,1164,,,,,,,,,,,,,
Maverick,8,46700,51570,33014,21425,46417,42606,7003,2970,1198,18727,152,,,,,,,,,,,,,
McCulloch,2021-09-10 00:00:00,4400,3945,2277,1859,6865,6435,1792,212,122,2275,260,,,,,,,,,,,,,
McLennan,7,153530,162178,93718,78145,215130,200781,37728,11153,3621,71906,8718,,,,,,,,,,,,,
McMullen,11,1200,457,258,235,640,616,189,10,0,202,0,,,,,,,,,,,,,
Medina,8,18100,35744,20637,17548,44092,41263,8757,899,536,16090,1720,,,,,,,,,,,,,
Menard,2021-09-10 00:00:00,1400,1524,859,799,1888,1790,699,9,40,550,0,,,,,,,,,,,,,
Midland,2021-09-10 00:00:00,135835,102011,56455,47752,141259,131025,18438,5950,1288,49538,4151,,,,,,,,,,,,,
Milam,7,11200,14803,8178,7113,21093,19689,5245,532,297,7641,827,,,,,,,,,,,,,
Mills,7,2600,2954,1664,1404,4242,4006,1416,149,152,1305,265,,,,,,,,,,,,,
Mitchell,2021-02-03 00:00:00,4000,4152,2290,1985,7286,6958,1259,265,96,2753,254,,,,,,,,,,,,,
Montague,2021-02-03 00:00:00,4950,9772,5582,4775,16816,15872,4444,560,383,5668,702,,,,,,,,,,,,,
Montgomery,6/5S,404890,437853,253560,200563,503062,467232,81457,20255,3836,157396,17330,,,,,,,,,,,,,
Moore,1,7240,13648,7765,6139,16411,14986,2372,448,176,6143,27,,,,,,,,,,,,,
Morris,4/5N,2100,6519,3817,3205,10449,9830,2730,77,179,3692,0,,,,,,,,,,,,,
Motley,1,0,572,363,220,1051,994,368,22,50,319,0,,,,,,,,,,,,,
Nacogdoches,4/5N,33100,36777,22270,18340,54401,51773,9953,2530,755,19948,1728,,,,,,,,,,,,,
Navarro,2021-02-03 00:00:00,33100,30791,17256,14334,41283,38360,8651,1720,869,15775,1772,,,,,,,,,,,,,
Newton,4/5N,2900,4553,2497,2192,11888,11298,2878,55,113,4648,354,,,,,,,,,,,,,
Nolan,2021-02-03 00:00:00,9000,7900,4803,4335,12204,11321,2737,519,251,4249,719,,,,,,,,,,,,,
Nueces,11,289725,276469,155670,129549,303484,284366,54069,25582,4100,113767,9771,,,,,,,,,,,,,
Ochiltree,1,4700,5511,3020,2713,7814,7106,1148,200,114,2812,0,,,,,,,,,,,,,
Oldham,1,1600,1005,557,481,1894,1728,316,18,0,654,227,,,,,,,,,,,,,
Orange,6/5S,5300,36869,21209,17147,69350,65087,13729,1456,548,26244,2692,,,,,,,,,,,,,
Palo Pinto,2021-02-03 00:00:00,6500,14733,8305,7143,24719,23207,5893,864,283,8796,816,,,,,,,,,,,,,
Panola,4/5N,3900,8681,5225,4316,19777,18462,4589,473,377,7117,661,,,,,,,,,,,,,
Parker,2021-02-03 00:00:00,73730,87014,48281,42197,119419,111686,22331,2890,1301,40567,3773,,,,,,,,,,,,,
Parmer,1,2600,5390,2994,2684,7816,7222,1366,161,174,2910,525,,,,,,,,,,,,,
Pecos,2021-09-10 00:00:00,6700,11542,6993,5274,13080,12317,2141,400,120,5047,517,,,,,,,,,,,,,
Polk,4/5N,10200,28537,16138,13780,44390,42276,9733,1184,574,17118,1025,,,,,,,,,,,,,
Potter,1,194195,67309,38560,30453,95273,88673,15203,10224,1770,35559,518,,,,,,,,,,,,,
Presidio,2021-09-10 00:00:00,5300,9155,5110,4288,5392,5069,1601,27,0,2039,0,,,,,,,,,,,,,
Rains,4/5N,2000,5947,3330,2861,10798,10277,3123,163,68,3649,0,,,,,,,,,,,,,
Randall,1,16170,85605,47962,40554,116059,108431,21424,2812,869,34803,519,,,,,,,,,,,,,
Reagan,2021-09-10 00:00:00,1400,1849,1088,976,3078,2841,427,52,42,1173,0,,,,,,,,,,,,,
Real,8,2000,2477,1331,1206,3070,2943,1053,25,86,1051,0,,,,,,,,,,,,,
Red River,4/5N,3500,6055,3466,3129,10450,9965,3044,420,252,3717,477,,,,,,,,,,,,,
Reeves,2021-09-10 00:00:00,31075,9866,5283,4693,13495,12781,1878,281,89,5277,0,,,,,,,,,,,,,
Refugio,11,2900,5230,2839,2513,5921,5583,1617,228,154,2031,313,,,,,,,,,,,,,
Roberts,1,0,353,192,177,730,672,193,16,0,227,0,,,,,,,,,,,,,
Robertson,7,4200,9751,5774,4860,14349,13474,3412,252,252,4991,690,,,,,,,,,,,,,
Rockwall,2021-02-03 00:00:00,59095,82572,47621,38222,86906,80325,13395,3750,1347,27575,3321,,,,,,,,,,,,,
Runnels,2021-02-03 00:00:00,7600,6076,3380,3057,8726,8184,2153,405,312,2979,430,,,,,,,,,,,,,
Rusk,4/5N,11670,25330,14719,12453,46536,43777,9197,1501,759,17428,1859,,,,,,,,,,,,,
Sabine,4/5N,3900,5660,3110,2844,9359,8871,3267,572,186,3077,0,,,,,,,,,,,,,
San Augustine,4/5N,3700,4942,2751,2352,7135,6811,2227,415,337,2590,0,,,,,,,,,,,,,
San Jacinto,4/5N,4500,12432,7251,6155,24882,23444,6488,132,190,9275,40,,,,,,,,,,,,,
San Patricio,11,20170,46847,26906,22125,54942,51116,10209,975,347,19063,2379,,,,,,,,,,,,,
San Saba,7,2100,2888,1656,1332,5279,5000,1465,33,72,1828,197,,,,,,,,,,,,,
Schleicher,2021-09-10 00:00:00,1800,1723,935,845,2399,2218,559,65,34,793,0,,,,,,,,,,,,,
Scurry,2021-02-03 00:00:00,7395,9519,5601,4724,14012,13000,2566,399,128,5165,0,,,,,,,,,,,,,
Shackelford,2021-02-03 00:00:00,1700,1762,968,838,2804,2612,691,52,0,937,119,,,,,,,,,,,,,
Shelby,4/5N,10050,9999,5916,4884,20862,19449,4532,540,369,7876,948,,,,,,,,,,,,,
Sherman,1,1800,1508,891,694,2478,2294,462,24,42,868,0,,,,,,,,,,,,,
Smith,4/5N,209370,143812,79256,67925,194878,182283,39337,19690,3030,62467,7172,,,,,,,,,,,,,
Somervell,2021-02-03 00:00:00,5100,5397,3046,2723,7823,7386,1770,457,220,2741,479,,,,,,,,,,,,,
Starr,11,43780,65845,38574,33057,49864,45765,7370,4479,1999,21117,3311,,,,,,,,,,,,,
Stephens,2021-02-03 00:00:00,3400,4340,2549,2253,8039,7542,1890,168,92,2928,22,,,,,,,,,,,,,
Sterling,2021-09-10 00:00:00,700,656,371,291,1042,975,186,10,44,375,0,,,,,,,,,,,,,
Stonewall,2021-02-03 00:00:00,1700,819,461,418,1164,1095,361,63,53,369,0,,,,,,,,,,,,,
Sutton,2021-09-10 00:00:00,2400,2452,1319,1166,3139,2992,723,91,0,1051,0,,,,,,,,,,,,,
Swisher,1,2600,3556,2205,1858,6211,5764,1305,114,61,2381,323,,,,,,,,,,,,,
Tarrant,2021-02-03 00:00:00,1449310,1588959,890215,743403,1738948,1617160,244511,86106,18386,590239,56668,,,,,,,,,,,,,
Taylor,2021-02-03 00:00:00,94735,84111,46686,40091,115070,107257,20131,11065,2465,36680,4185,,,,,,,,,,,,,
Terrell,2021-09-10 00:00:00,0,643,360,299,678,639,255,10,0,207,0,,,,,,,,,,,,,
Terry,1,8590,7020,4011,3499,10047,9307,1858,345,178,3985,416,,,,,,,,,,,,,
Throckmorton,2021-02-03 00:00:00,2100,1015,542,492,1314,1247,445,64,0,399,0,,,,,,,,,,,,,
Titus,4/5N,25200,16592,9598,7548,26439,24323,4845,1811,633,9797,1297,,,,,,,,,,,,,
Tom Green,2021-09-10 00:00:00,95140,76081,41317,36528,99574,93752,18625,6702,1601,33131,3815,,,,,,,,,,,,,
Travis,7,2165090,1272269,725524,596013,1092827,1032386,129553,51820,8264,311477,32884,,,,,,,,,,,,,
Trinity,4/5N,5050,8385,4814,4051,12733,12104,3956,347,241,4400,427,,,,,,,,,,,,,
Tyler,4/5N,9300,10550,5833,5073,18949,17963,4895,476,238,6926,722,,,,,,,,,,,,,
Upshur,4/5N,5300,17646,9988,8610,35243,33011,7825,714,567,12366,1404,,,,,,,,,,,,,
Upton,2021-09-10 00:00:00,3200,2238,1218,1029,2953,2730,537,170,30,1105,0,,,,,,,,,,,,,
Uvalde,8,31145,18904,10573,9003,21980,20379,4508,1498,515,8253,985,,,,,,,,,,,,,
Val Verde,8,43030,37841,23516,16699,39580,36546,7003,2610,490,14417,104,,,,,,,,,,,,,
Van Zandt,4/5N,13100,27006,15426,13251,48037,45216,11495,1280,711,16861,1783,,,,,,,,,,,,,
Victoria,8,60590,59861,32878,28472,76348,71388,15242,5624,1030,27119,241,,,,,,,,,,,,,
Walker,6/5S,36770,44876,27233,20380,66420,63471,10049,1526,400,24628,1438,,,,,,,,,,,,,
Waller,6/5S,15640,29774,17255,13870,46544,43350,6546,1182,466,16819,1813,,,,,,,,,,,,,
Ward,2021-09-10 00:00:00,4940,6803,3810,3298,9651,8921,1629,137,92,3551,0,,,,,,,,,,,,,
Washington,7,63100,26159,14528,12333,30940,29086,7889,2581,1018,10662,72,,,,,,,,,,,,,
Webb,11,206550,289163,168348,134418,215919,196916,26921,12073,1646,88397,11668,,,,,,,,,,,,,
Wharton,6/5S,18490,26895,15703,12877,34591,32110,7239,1438,615,12933,1328,,,,,,,,,,,,,
Wheeler,1,3000,2567,1481,1295,4211,3915,1002,200,114,1459,243,,,,,,,,,,,,,
Wichita,2021-02-03 00:00:00,76520,79521,45121,39799,111604,105631,19854,8664,2030,42031,3508,,,,,,,,,,,,,
Wilbarger,2021-02-03 00:00:00,10600,8507,4882,4489,10971,10361,2421,457,304,4240,27,,,,,,,,,,,,,
Willacy,11,8300,17529,10036,7813,18065,16897,3057,325,557,7612,775,,,,,,,,,,,,,
Williamson,7,449190,549080,315074,256156,493204,458433,73202,14404,4639,146388,19090,,,,,,,,,,,,,
Wilson,8,23300,33333,19353,16198,43258,40488,8411,1224,615,13986,1510,,,,,,,,,,,,,
Winkler,2021-09-10 00:00:00,2000,4070,2310,2008,6466,5954,964,102,0,2445,0,,,,,,,,,,,,,
